sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
20.1,[],[],[],[],,0,0,0,0,0,0
20.2,"['note_off', 'note_on']","[0, 0]","[72, 77]","[64, 100]",mf,1,2,0,0,0,0
20.4,[],[],[],[],,0,0,0,0,0,0
20.5,"['note_off', 'note_on', 'note_on']","[0, 0, 0]","[77, 53, 76]","[64, 100, 100]",f,1,3,0,0,0,0
20.6,[],[],[],[],,0,0,0,0,0,0
20.7,"['note_off', 'note_on']","[0, 0]","[76, 77]","[64, 100]",mf,1,2,0,0,0,0
20.9,[],[],[],[],,0,0,0,0,0,0
21.0,"['note_off', 'note_off', 'note_off', 'note_off', 'note_on', 'note_on']","[0, 0, 0, 0, 0, 0]","[41, 48, 53, 77, 45, 72]","[64, 64, 64, 64, 100, 100]",mf,1,6,0,0,0,0
21.4,[],[],[],[],,0,0,0,0,0,0
21.5,['note_on'],[0],[53],[100],f,1,1,0,0,0,0
21.6,[],[],[],[],,0,0,0,0,0,0
21.7,"['note_off', 'note_on']","[0, 0]","[72, 77]","[64, 100]",mf,1,2,0,0,0,0
21.9,[],[],[],[],,0,0,0,0,0,0
22.0,"['note_off', 'note_on', 'note_on']","[0, 0, 0]","[77, 57, 76]","[64, 100, 100]",f,1,3,0,0,0,0
22.1,[],[],[],[],,0,0,0,0,0,0
22.2,"['note_off', 'note_on']","[0, 0]","[76, 77]","[64, 100]",mf,1,2,0,0,0,0
22.4,[],[],[],[],,0,0,0,0,0,0
22.5,"['note_off', 'note_off', 'note_off', 'note_off', 'note_on', 'note_on']","[0, 0, 0, 0, 0, 0]","[45, 53, 57, 77, 46, 72]","[64, 64, 64, 64, 100, 100]",mf,1,6,0,0,0,0
22.9,[],[],[],[],,0,0,0,0,0,0
23.0,['note_on'],[0],[53],[100],f,1,1,0,0,0,0
23.4,[],[],[],[],,0,0,0,0,0,0
23.5,['note_on'],[0],[58],[100],f,1,1,0,0,0,0
23.9,[],[],[],[],,0,0,0,0,0,0
24.0,"['note_off', 'note_off', 'note_off', 'note_off', 'note_on', 'note_on']","[0, 0, 0, 0, 0, 0]","[46, 72, 53, 58, 48, 74]","[64, 64, 64, 64, 100, 100]",mf,1,6,0,0,0,0
24.4,[],[],[],[],,0,0,0,0,0,0
24.5,['note_on'],[0],[55],[100],f,1,1,0,0,0,0
24.9,[],[],[],[],,0,0,0,0,0,0
25.0,"['note_off', 'note_on', 'note_on']","[0, 0, 0]","[74, 60, 76]","[64, 100, 100]",f,1,3,0,0,0,0
25.4,[],[],[],[],,0,0,0,0,0,0
25.5,"['note_off', 'note_off', 'note_off', 'note_off', 'note_on', 'note_on']","[0, 0, 0, 0, 0, 0]","[48, 55, 60, 76, 38, 77]","[64, 64, 64, 64, 100, 100]",mf,1,6,0,0,0,0
26.1,[],[],[],[],,0,0,0,0,0,0
26.2,['note_off'],[0],[77],[64],mp,0,1,0,0,0,0
26.9,[],[],[],[],,0,0,0,0,0,0
