,msg_type,count,msg_channel,msg_note,msg_velocity,tick
240,['note_on'],1,[0],[67],[64],1560
241,['note_on'],1,[0],[67],[64],1560
242,['note_on'],1,[0],[67],[64],1560
243,['note_on'],1,[0],[67],[64],1560
244,['note_on'],1,[0],[67],[64],1560
245,['note_on'],1,[0],[67],[64],1560
246,['note_on'],1,[0],[67],[64],1560
247,['note_on'],1,[0],[67],[64],1560
248,['note_on'],1,[0],[67],[64],1560
249,['note_on'],1,[0],[67],[64],1560
250,['note_on'],1,[0],[67],[64],1560
251,['note_on'],1,[0],[67],[64],1560
252,['note_on'],1,[0],[67],[64],1560
253,['note_on'],1,[0],[67],[64],1560
254,['note_on'],1,[0],[67],[64],1560
255,['note_on'],1,[0],[67],[64],1560
256,['note_on'],1,[0],[67],[64],1560
257,['note_on'],1,[0],[67],[64],1560
258,['note_on'],1,[0],[67],[64],1560
259,['note_on'],1,[0],[67],[64],1560
260,['note_on'],1,[0],[67],[64],1560
261,['note_on'],1,[0],[67],[64],1560
262,['note_on'],1,[0],[67],[64],1560
263,['note_on'],1,[0],[67],[64],1560
264,['note_on'],1,[0],[67],[64],1560
265,['note_on'],1,[0],[67],[64],1560
266,['note_on'],1,[0],[67],[64],1560
267,['note_on'],1,[0],[67],[64],1560
268,['note_on'],1,[0],[67],[64],1560
269,['note_on'],1,[0],[67],[64],1560
270,['note_on'],1,[0],[67],[64],1560
271,['note_on'],1,[0],[67],[64],1560
272,['note_on'],1,[0],[67],[64],1560
273,['note_on'],1,[0],[67],[64],1560
274,['note_on'],1,[0],[67],[64],1560
275,['note_on'],1,[0],[67],[64],1560
276,['note_on'],1,[0],[67],[64],1560
277,['note_on'],1,[0],[67],[64],1560
278,['note_on'],1,[0],[67],[64],1560
279,['note_on'],1,[0],[67],[64],1560
280,['note_on'],1,[0],[67],[64],1560
281,['note_on'],1,[0],[67],[64],1560
282,['note_on'],1,[0],[67],[64],1560
283,['note_on'],1,[0],[67],[64],1560
284,['note_on'],1,[0],[67],[64],1560
285,['note_on'],1,[0],[67],[64],1560
286,['note_on'],1,[0],[67],[64],1560
287,['note_on'],1,[0],[67],[64],1560
288,['note_on'],1,[0],[67],[64],1560
289,['note_on'],1,[0],[67],[64],1560
290,['note_on'],1,[0],[67],[64],1560
291,['note_on'],1,[0],[67],[64],1560
292,['note_on'],1,[0],[67],[64],1560
293,['note_on'],1,[0],[67],[64],1560
294,['note_on'],1,[0],[67],[64],1560
295,['note_on'],1,[0],[67],[64],1560
296,['note_on'],1,[0],[67],[64],1560
297,['note_on'],1,[0],[67],[64],1560
298,['note_on'],1,[0],[67],[64],1560
299,['note_on'],1,[0],[67],[64],1560
300,['note_on'],1,[0],[67],[64],1560
301,['note_on'],1,[0],[67],[64],1560
302,['note_on'],1,[0],[67],[64],1560
303,['note_on'],1,[0],[67],[64],1560
304,['note_on'],1,[0],[67],[64],1560
305,['note_on'],1,[0],[67],[64],1560
306,['note_on'],1,[0],[67],[64],1560
307,['note_on'],1,[0],[67],[64],1560
308,['note_on'],1,[0],[67],[64],1560
309,['note_on'],1,[0],[67],[64],1560
310,['note_on'],1,[0],[67],[64],1560
311,['note_on'],1,[0],[67],[64],1560
312,['note_on'],1,[0],[67],[64],1560
313,['note_on'],1,[0],[67],[64],1560
314,['note_on'],1,[0],[67],[64],1560
315,['note_on'],1,[0],[67],[64],1560
316,['note_on'],1,[0],[67],[64],1560
317,['note_on'],1,[0],[67],[64],1560
318,['note_on'],1,[0],[67],[64],1560
